OBJECTID_1	residents_1	residents_2	residents_3
265	.1357143	.0642857	.8
266	.2570481	.0613599	.681592
267	.0597015	.0746269	.8656716
268	.1448598	.0794393	.7757009
269	.25	.25	.5
270	.1551724	.0862069	.7586207
271	.1358025	.0246914	.8395061
272	.056338	.028169	.915493
273	.2142857	.0714286	.7142857
274	.0232558	.1627907	.8139535
275	.1272727	.0909091	.7818182
276	.0902778	.0763889	.8333333
277	.0595238	.1547619	.7857143
278	.2142857	.1285714	.6571429
279	.1466667	.0733333	.78
280	.2380952	.1071429	.6547619
281	.0816327	.3163265	.6020408
282	.3333333	.047619	.6190476
283	.2	.2	.6
284	.2222222	.037037	.7407407
285	.1794872	.1025641	.7179487
286	.2336449	.0373832	.728972
287	.0882353	.0882353	.8235294
288	.125	.125	.75
289	.1842105	.1052632	.7105263
290	.1034483	.137931	.7586207
291	.2295082	.0327869	.7377049
292	.4	.1	.5
293	.1388889	.0833333	.7777778
294	.0666667	.0666667	.8666667
295	.0833333	.0833333	.8333333
296	.375	.125	.5
297	.0344828	.137931	.8275862
298	.1751592	.0477707	.77707
299	.1699346	.0305011	.7995642
300	.1095238	.0642857	.8261905
303	.0574713	.2471264	.6954023
304	.2421053	.0315789	.7263158
305	.1978022	.032967	.7692308
306	.2954545	.0272727	.6772727
307	.1170213	.1276596	.7553192
308	.1527778	.0813492	.765873
309	.0483871	.0645161	.8870968
310	.1535714	.05	.7964286
311	.1096491	.0657895	.8245614
312	.2183908	.0344828	.7471265
313	.5	.05	.45
314	.192029	.0797101	.7282609
315	.2209302	.1162791	.6627907
316	.142132	.0507614	.8071066
317	.1826742	.1412429	.6760828
318	.3207547	.0471698	.6320755
319	.1	.05	.85
320	.1594203	.0144928	.8260869
321	.1	.1	.8
322	.1428571	.047619	.8095238
323	.0625	.0625	.875
324	.2857143	.0714286	.6428571
325	.1538462	.0384615	.8076923
326	.2068966	.0344828	.7586207
327	.0333333	.0333333	.9333333
328	.2333333	.0166667	.75
329	.325	.025	.65
330	.1	.1	.8
331	.1666667	.1666667	.6666667
332	.1989796	.0255102	.7755102
333	.1851852	.037037	.7777778
334	.1632653	.0816327	.755102
335	.1785714	.047619	.7738096
336	.0588235	.0588235	.8823529
337	.2941177	.0294118	.6764706
338	.1363636	.0227273	.8409091
339	.1818182	.0454545	.7727273
340	.3333333	.0952381	.5714286
341	.1428571	.0714286	.7857143
342	.0909091	.0909091	.8181818
343	.2	.2	.6
344	.125	.125	.75
345	.0731707	.0243902	.902439
346	.1818182	.0909091	.7272727
347	.0967742	.0645161	.8387097
348	.1666667	.1666667	.6666667
349	.0285714	.0285714	.9428571
350	.0454545	.0454545	.9090909
351	.25	.25	.5
352	.0833333	.0833333	.8333333
353	.0714286	.0714286	.8571429
354	.2168675	.0120482	.7710843
355	.2	.2	.6
356	.1875	.125	.6875
357	.3333333	.3333333	.3333333
358	.0714286	.0714286	.8571429
359	.0555556	.0555556	.8888889
360	.0833333	.0833333	.8333333
361	.0588235	.0588235	.8823529
362	.0714286	.0714286	.8571429
363	.25	.25	.5
364	.03125	.03125	.9375
365	.1960784	.0196078	.7843137
366	.0909091	.0909091	.8181818
367	.0638298	.0212766	.9148936
368	.037037	.037037	.9259259
369	.0625	.0625	.875
370	.2	.0666667	.7333333
371	.1666667	.1666667	.6666667
372	.125	.125	.75
373	.1142857	.0571429	.8285714
374	.0416667	.0416667	.9166667
375	.1	.1	.8
376	.0555556	.0555556	.8888889
377	.1052632	.0526316	.8421053
378	.3333333	.3333333	.3333333
379	.0526316	.0526316	.8947368
380	.1111111	.1111111	.7777778
381	.2	.1	.7
382	.2222222	.0555556	.7222222
383	.0909091	.0909091	.8181818
384	.0833333	.0833333	.8333333
385	.1111111	.2222222	.6666667
386	.0714286	.0714286	.8571429
387	.05	.05	.9
388	.0909091	.030303	.8787879
389	.2	.2	.6
390	.0416667	.0416667	.9166667
391	.0081967	.0081967	.9836066
392	.0555556	.0555556	.8888889
393	.16	.04	.8
394	.0714286	.0714286	.8571429
395	.0625	.0625	.875
396	.0588235	.0588235	.8823529
397	.0384615	.0384615	.9230769
398	.3333333	.0833333	.5833333
399	.0666667	.0666667	.8666667
400	.1	.1	.8
401	.1	.1	.8
402	.0227273	.0227273	.9545454
403	.5	.25	.25
404	.0769231	.0769231	.8461539
405	.0555556	.0555556	.8888889
406	.1	.1	.8
407	.0588235	.0588235	.8823529
408	.05	.05	.9
409	.0909091	.0909091	.8181818
410	.1666667	.1666667	.6666667
411	.05	.05	.9
412	.125	.125	.75
413	.0769231	.0769231	.8461539
414	.0714286	.0714286	.8571429
415	.1	.1	.8
416	.0833333	.0833333	.8333333
417	.0909091	.0909091	.8181818
418	.1428571	.1428571	.7142857
419	.0465116	.0232558	.9302326
420	.1	.1	.8
421	.2142857	.0714286	.7142857
422	.25	.25	.5
423	.3333333	.3333333	.3333333
424	.0769231	.0769231	.8461539
425	.0833333	.0833333	.8333333
426	.1	.1	.8
427	.25	.25	.5
428	.0833333	.0833333	.8333333
429	.0769231	.0769231	.8461539
430	.0909091	.0454545	.8636364
431	.25	.25	.5
432	.05	.05	.9
433	.25	.25	.5
434	.2047244	.015748	.7795275
435	.1272727	.0272727	.8454546
436	.2619048	.0238095	.7142857
437	.2380952	.047619	.7142857
438	.6078432	.0196078	.372549
439	.2142857	.0714286	.7142857
440	.2142857	.0357143	.75
441	.1397059	.0073529	.8529412
442	.2222222	.0222222	.7555556
443	.0322581	.0322581	.9354839
444	.1212121	.030303	.8484849
445	.2708333	.0208333	.7083333
446	.1803279	.0163934	.8032787
447	.3333333	.3333333	.3333333
448	.1458333	.0208333	.8333333
449	.5238096	.047619	.4285714
450	.3333333	.3333333	.3333333
451	.2907489	.0352423	.6740088
452	.0645161	.0645161	.8709677
453	.160221	.0497238	.7900553
454	.0666667	.0666667	.8666667
455	.1923077	.0384615	.7692308
456	.12	.04	.84
457	.1	.1	.8
458	.0454545	.0454545	.9090909
459	.0769231	.0769231	.8461539
460	.0588235	.1176471	.8235294
461	.3333333	.3333333	.3333333
462	.3	.1	.6
463	.0666667	.0666667	.8666667
464	.3333333	.1666667	.5
465	.125	.125	.75
466	.0625	.0625	.875
467	.1643836	.0136986	.8219178
468	.1818182	.0909091	.7272727
469	.2916667	.0416667	.6666667
470	.1	.1	.8
471	.4705882	.0588235	.4705882
472	.125	.125	.75
473	.0909091	.0454545	.8636364
474	.1666667	.1666667	.6666667
475	.2	.2	.6
476	.0277778	.0277778	.9444444
477	.0909091	.0909091	.8181818
478	.1428571	.0714286	.7857143
479	.0384615	.0384615	.9230769
480	.3333333	.3333333	.3333333
481	.1267606	.084507	.7887324
482	.25	.05	.7
483	.2083333	.0416667	.75
484	.0952381	.0952381	.8095238
485	.0434783	.0434783	.9130435
486	.037037	.1481481	.8148148
487	.2727273	.0909091	.6363636
488	.0833333	.0833333	.8333333
489	.3333333	.3333333	.3333333
490	.2653061	.0204082	.7142857
491	.0638298	.0638298	.8723404
492	.1129032	.0322581	.8548387
493	.4852941	.0073529	.5073529
494	.0322581	.016129	.9516129
495	.0985916	.056338	.8450704
496	.1923077	.0384615	.7692308
505	.0714286	.2857143	.6428571
506	.3333333	.3333333	.3333333
507	.25	.25	.5
508	.3333333	.3333333	.3333333
509	.0714286	.2142857	.7142857
510	.1	.1	.8
511	.3333333	.3333333	.3333333
512	.1111111	.1111111	.7777778
513	.25	.25	.5
514	.2941177	.1176471	.5882353
794	.3333333	.3333333	.3333333
803	.3333333	.3333333	.3333333
2056	.3333333	.3333333	.3333333
2062	.3333333	.3333333	.3333333
2065	.3333333	.3333333	.3333333
2075	.3333333	.3333333	.3333333
2266	.3333333	.3333333	.3333333
3078	.3333333	.3333333	.3333333
3080	.3333333	.3333333	.3333333
3082	.3333333	.3333333	.3333333
3083	.3333333	.3333333	.3333333
3084	.3333333	.3333333	.3333333
3087	.3333333	.3333333	.3333333
3346	.3333333	.3333333	.3333333
3347	.3333333	.3333333	.3333333
3349	.3333333	.3333333	.3333333
3351	.3333333	.3333333	.3333333
3352	.3333333	.3333333	.3333333
3357	.3333333	.3333333	.3333333
3370	.3333333	.3333333	.3333333
3371	.3333333	.3333333	.3333333
3372	.3333333	.3333333	.3333333
3377	.3333333	.3333333	.3333333
3380	.3333333	.3333333	.3333333
3395	.3333333	.3333333	.3333333
3398	.3333333	.3333333	.3333333
3401	.3333333	.3333333	.3333333
3580	.3333333	.3333333	.3333333
3591	.3333333	.3333333	.3333333
4127	.3333333	.3333333	.3333333
4130	.3333333	.3333333	.3333333
4152	.3333333	.3333333	.3333333
4158	.3333333	.3333333	.3333333
4170	.3333333	.3333333	.3333333
4176	.3333333	.3333333	.3333333
4604	.0357143	.0357143	.9285714
4605	.125	.125	.75
4606	.0833333	.0833333	.8333333
4607	.1666667	.1666667	.6666667
4608	.0833333	.0833333	.8333333
4609	.0333333	.0333333	.9333333
4610	.1	.1	.8
4611	.0125	.0125	.975
4612	.1111111	.1111111	.7777778
4613	.0769231	.0769231	.8461539
4614	.0810811	.0135135	.9054054
4615	.0588235	.0588235	.8823529
4616	.25	.25	.5
4617	.2033898	.0508475	.7457627
4618	.2857143	.0714286	.6428571
4619	.3	.1	.6
4620	.048951	.013986	.9370629
4621	.3030303	.030303	.6666667
4622	.0588235	.0588235	.8823529
4623	.1428571	.1428571	.7142857
4624	.0790274	.0364742	.8844985
4625	.1259259	.0444444	.8296296
4626	.046875	.078125	.875
4627	.0434783	.0144928	.942029
4628	.0833333	.0833333	.8333333
4629	.0526316	.0526316	.8947368
4630	.0483871	.0483871	.9032258
4631	.0588235	.0588235	.8823529
4632	.0285714	.0571429	.9142857
4633	.0322581	.0322581	.9354839
4634	.025641	.025641	.948718
4635	.2307692	.0769231	.6923077
4636	.0294118	.0294118	.9411765
4637	.2	.2	.6
4638	.125	.125	.75
4639	.1	.1	.8
4640	.1111111	.1111111	.7777778
4641	.0235294	.0352941	.9411765
4642	.1428571	.1428571	.7142857
4643	.125	.125	.75
4644	.25	.25	.5
4645	.1666667	.1666667	.6666667
4646	.0344828	.0344828	.9310345
4647	.0714286	.0714286	.8571429
4648	.0909091	.0909091	.8181818
4649	.0909091	.0909091	.8181818
4650	.0769231	.0769231	.8461539
4651	.0909091	.0909091	.8181818
4652	.25	.25	.5
4653	.04	.04	.92
4654	.1	.15	.75
4655	.0666667	.0666667	.8666667
4656	.0909091	.0909091	.8181818
4657	.0243902	.0243902	.9512195
4658	.0625	.125	.8125
4659	.027027	.027027	.9459459
4660	.1818182	.0909091	.7272727
4661	.0285714	.0285714	.9428571
4662	.0666667	.0666667	.8666667
4663	.0208333	.0208333	.9583333
4664	.0625	.0625	.875
4665	.0315789	.0105263	.9578947
4666	.0238095	.0238095	.952381
4667	.1333333	.0666667	.8
4668	.0833333	.0416667	.875
4669	.0416667	.0416667	.9166667
4670	.2	.1	.7
4671	.0416667	.0416667	.9166667
4672	.04	.02	.94
4673	.3333333	.0555556	.6111111
4674	.0357143	.0357143	.9285714
4675	.0625	.0625	.875
4676	.2307692	.0769231	.6923077
4677	.1111111	.037037	.8518519
4678	.0454545	.0454545	.9090909
4679	.125	.125	.75
4680	.0222222	.0666667	.9111111
4681	.3333333	.047619	.6190476
4682	.0526316	.1052632	.8421053
4683	.1	.1	.8
4684	.0833333	.0833333	.8333333
4685	.1666667	.1666667	.6666667
4686	.0714286	.0714286	.8571429
4687	.0471698	.0377358	.9150943
4688	.0714286	.0714286	.8571429
4689	.1136364	.0454545	.8409091
4690	.25	.25	.5
4691	.0416667	.0416667	.9166667
4692	.1111111	.1111111	.7777778
4693	.0714286	.0714286	.8571429
4694	.0555556	.0555556	.8888889
4695	.1111111	.1111111	.7777778
4696	.2	.2	.6
4697	.047619	.047619	.9047619
4698	.0833333	.0833333	.8333333
4699	.0588235	.0470588	.8941177
4700	.0909091	.0909091	.8181818
4701	.125	.125	.75
4702	.0490196	.0098039	.9411765
4703	.3333333	.3333333	.3333333
4704	.2	.2	.6
4705	.0491803	.0163934	.9344262
4706	.0526316	.0526316	.8947368
4707	.1428571	.1428571	.7142857
4708	.1	.1	.8
4709	.1428571	.1428571	.7142857
4710	.0285714	.0285714	.9428571
4711	.0357143	.0714286	.8928571
4712	.1666667	.1666667	.6666667
4713	.0909091	.0909091	.8181818
4714	.0217391	.0217391	.9565217
4715	.25	.25	.5
4716	.1428571	.1428571	.7142857
4717	.1111111	.1111111	.7777778
4718	.0666667	.0666667	.8666667
4719	.1333333	.0333333	.8333333
4720	.0909091	.1363636	.7727273
4721	.1666667	.1666667	.6666667
4722	.0810811	.027027	.8918919
4723	.0909091	.0454545	.8636364
4724	.0322581	.0967742	.8709677
4725	.0666667	.0666667	.8666667
4726	.106383	.0212766	.8723404
4727	.1041667	.0208333	.875
4728	.3333333	.1111111	.5555556
4729	.2727273	.0909091	.6363636
4730	.3333333	.3333333	.3333333
4731	.25	.25	.5
4732	.1546763	.0323741	.8129497
4733	.2727273	.0454545	.6818182
4734	.125	.125	.75
4735	.0454545	.0227273	.9318182
4736	.4230769	.0384615	.5384616
4737	.0714286	.0357143	.8928571
4738	.1666667	.0833333	.75
4739	.4705882	.0588235	.4705882
4740	.0652174	.0543478	.8804348
4741	.0322581	.0322581	.9354839
4742	.3235294	.0147059	.6617647
4743	.1538462	.0384615	.8076923
4744	.5	.1	.4
4745	.4210526	.0526316	.5263158
4746	.0714286	.0714286	.8571429
4747	.2432432	.027027	.7297297
4748	.25	.03125	.71875
4749	.245283	.0188679	.7358491
4750	.1111111	.1111111	.7777778
4751	.0833333	.0277778	.8888889
4752	.2316017	.0757576	.6926407
4753	.3285714	.1428571	.5285714
4754	.2391304	.0396419	.7212276
4755	.1417323	.1338583	.7244095
4756	.1914894	.0283688	.7801418
4757	.0416667	.0416667	.9166667
4758	.1428571	.1428571	.7142857
4759	.1428571	.1428571	.7142857
4760	.3333333	.3333333	.3333333
4761	.25	.25	.5
4762	.1111111	.1111111	.7777778
4763	.1153846	.0384615	.8461539
4764	.25	.25	.5
4765	.1333333	.0666667	.8
4766	.2	.2	.6
4767	.0344828	.0344828	.9310345
4768	.027027	.0540541	.9189189
